t,S,I,R
1,10000,1,0
2,9999,1,0
3,9999,1,0
4,9999,1,0
5,9999,0,1
6,9998,1,0
7,9998,1,0
8,9998,1,0
9,9993,6,0
10,9993,6,0
11,9986,12,1
12,9980,17,1
13,9968,28,1
14,9955,36,5
15,9926,62,3
16,9880,105,3
17,9824,146,15
18,9718,239,13
19,9594,342,21
20,9393,510,33
21,9075,784,44
22,8594,1187,78
23,7933,1738,110
24,7095,2408,168
25,5941,3329,233
26,4664,4301,305
27,3294,5281,390
28,2112,5979,484
29,1239,6263,589
30,711,6184,607
31,359,5981,555
32,199,5573,568
33,100,5140,532
34,61,4714,465
35,37,4254,484
36,23,3853,415
37,14,3495,367
38,12,3156,341
39,7,2882,279
40,6,2587,296
41,6,2347,240
42,5,2130,218
43,3,1934,198
44,3,1748,186
45,2,1578,171
46,2,1415,163
47,2,1293,122
48,2,1167,126
49,2,1055,112
50,2,950,105
51,1,867,84
52,1,768,99
53,1,691,77
54,1,631,60
55,1,571,60
56,1,528,43
57,1,463,65
58,1,414,49
59,1,371,43
60,1,320,51
61,1,287,33
62,1,258,29
63,1,230,28
64,1,204,26
65,1,182,22
66,1,165,17
67,1,149,16
68,1,139,10
69,1,130,9
70,1,113,17
